,rok,měsíc,den,T-AVG,TMA,TMI,SRA,Flag
571,1776,7,25,19.2,25.4,16.9,,
572,1776,7,26,17.9,21.3,16.4,,
573,1776,7,27,18.3,20.0,16.4,,
574,1776,7,28,20.6,23.7,16.2,,
575,1776,7,29,19.1,21.8,16.0,,
576,1776,7,30,18.9,23.1,13.4,,
577,1776,7,31,17.8,21.5,14.4,,
578,1776,8,1,18.0,21.5,13.4,,
579,1776,8,2,20.5,24.7,14.0,,
580,1776,8,3,23.6,29.2,16.2,,
581,1776,8,4,24.2,28.5,17.2,,
582,1776,8,5,24.2,27.5,21.2,,
583,1776,8,6,23.2,27.5,16.3,,
584,1776,8,7,18.2,27.2,15.0,,
585,1776,8,8,16.8,19.2,14.4,,
586,1776,8,9,18.4,23.3,12.4,,
587,1776,8,10,20.4,25.8,13.4,,
588,1776,8,11,20.5,25.4,14.1,,
589,1776,8,12,23.2,28.6,15.5,,
590,1776,8,13,21.8,25.7,17.7,,
